City,Lat,lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ankazobe,-18.3167,47.1167,55.81,93,9,4.88,MG,1626466011
Dongsheng,39.8161,109.9776,66.78,79,97,0.29,CN,1626466012
Hofn,64.2539,-15.2082,56.41,64,5,10.0,IS,1626466012
Hasaki,35.7333,140.8333,70.21,91,6,3.67,JP,1626465772
Caravelas,-17.7125,-39.2481,74.14,80,0,8.43,BR,1626466013
Codrington,-38.2667,141.9667,47.73,91,90,14.14,AU,1626466013
Debre Tabor,11.85,38.0167,52.99,93,100,2.51,ET,1626465752
Sibolga,1.7427,98.7792,75.79,83,97,3.49,ID,1626466014
Key West,24.5557,-81.7826,89.1,63,20,16.11,US,1626466015
Saint Anthony,45.0205,-93.218,83.23,40,75,1.01,US,1626466015
Florence,43.7667,11.25,70.03,63,40,3.44,IT,1626466015
Misratah,32.3754,15.0925,80.73,68,0,11.43,LY,1626466016
Asău,46.4333,26.4,67.21,69,4,3.29,RO,1626466016
Fare,-16.7,-151.0167,79.77,63,55,22.73,PF,1626466017
Uchiza,-8.4592,-76.4633,86.25,50,30,2.77,PE,1626466017
Khasan,42.4308,130.6434,71.91,98,75,1.21,RU,1626466017
Tromsø,69.6496,18.957,49.68,93,75,4.0,NO,1626466010
Lagodekhi,41.8268,46.2767,72.5,55,24,3.29,GE,1626466018
Makokou,0.5738,12.8642,74.71,70,100,2.86,GA,1626466018
Wamba,8.9333,8.6,72.55,94,85,3.83,NG,1626466019
Waitati,-45.75,170.5667,47.8,91,56,3.38,NZ,1626466019
Price,39.5994,-110.8107,88.92,20,1,3.83,US,1626466020
Lianhe,47.1333,129.2667,71.87,95,65,2.08,CN,1626466020
Mossamedes,-15.1961,12.1522,66.94,82,0,5.17,AO,1626466020
Pleşoiu,44.4667,24.2667,79.63,47,100,10.33,RO,1626466021
Coração de Jesus,-16.6853,-44.365,81.41,27,0,3.85,BR,1626466021
Clarence Town,-32.5833,151.7833,57.02,57,4,16.55,AU,1626466022
Dikson,73.5069,80.5464,34.99,89,100,9.64,RU,1626466023
Airai,-8.9266,125.4092,55.4,62,42,2.51,TL,1626466023
Nelson Bay,-32.7167,152.15,57.65,57,0,3.0,AU,1626465948
Dingle,10.9995,122.6711,75.49,91,98,6.89,PH,1626466024
Ongandjera,-17.8833,15.0667,64.51,30,0,9.51,NA,1626466024
Lensk,60.7253,114.9278,60.94,73,7,2.62,RU,1626466025
Seoul,37.5683,126.9778,74.43,83,90,3.09,KR,1626465793
Zhicheng,30.2956,111.5047,79.25,91,100,3.02,CN,1626466026
Charopo,41.2667,23.3833,74.14,43,0,1.52,GR,1626466026
Mugur-Aksy,50.35,90.5,55.08,78,89,5.75,RU,1626466027
São João da Barra,-21.6403,-41.0511,78.89,75,5,7.72,BR,1626465870
Esperance,-33.8667,121.9,51.64,81,100,5.17,AU,1626466027
Nioro,13.35,-15.75,83.17,71,56,11.88,GM,1626466028
Kyenjojo,0.6328,30.6214,62.96,77,93,1.14,UG,1626466028
Bonanza,14.0289,-84.591,80.73,84,33,3.76,NI,1626466029
Miles City,46.4083,-105.8406,95.97,20,1,6.91,US,1626465774
Tottori-shi,35.5,134.2333,72.01,89,81,6.35,JP,1626466029
Sobolevo,54.4299,31.8996,69.13,79,0,7.02,RU,1626466030
Mgachi,51.05,142.2667,69.98,89,38,13.31,RU,1626466030
Mandalgovi,45.7625,106.2708,61.39,84,57,3.18,MN,1626466031
Anchorage,61.2181,-149.9003,69.42,64,1,4.61,US,1626465992
Juneau,58.3019,-134.4197,60.55,89,75,6.91,US,1626466031
Kučevo,44.4775,21.67,67.93,94,100,8.43,RS,1626466032
Huejúcar,22.35,-103.2167,73.85,57,100,4.94,MX,1626466032
Manggar,-2.8833,108.2667,80.37,77,100,7.74,ID,1626466033
Simpang,-1.2667,104.0833,73.81,88,48,2.64,ID,1626466033
Abu Dhabi,24.4667,54.3667,92.26,65,87,19.89,AE,1626465780
San-Pédro,4.7485,-6.6363,76.12,88,92,10.54,CI,1626466034
Katherine,-14.4667,132.2667,64.72,63,100,1.14,AU,1626466034
Santa Isabel Rio Negro,-0.4139,-65.0192,82.08,82,46,3.69,BR,1626466035
Sittwe,20.15,92.9,80.91,82,100,3.04,MM,1626466035
Marília,-22.2139,-49.9458,80.83,29,24,5.3,BR,1626466035
Jalu,29.0331,21.5482,85.32,48,0,18.97,LY,1626466036
Polunochnoye,60.8697,60.4153,54.5,69,71,3.2,RU,1626466036
Casper,42.8666,-106.3131,90.46,19,1,5.01,US,1626466037
Santa Inês,-3.6667,-45.38,89.19,47,32,4.14,BR,1626466037
Wanaka,-44.7,169.15,41.2,97,91,2.13,NZ,1626466038
Cherlak,54.155,74.8055,54.91,96,100,8.12,RU,1626466038
Carauari,-4.8828,-66.8958,90.18,49,47,3.98,BR,1626466039
Homer,59.6425,-151.5483,68.16,69,1,9.22,US,1626466039
San Jose,37.3394,-121.895,75.96,47,1,3.44,US,1626465943
Saurimo,-9.6608,20.3916,65.55,33,9,5.14,AO,1626466040
Bulgan,48.8125,103.5347,57.96,89,31,1.92,MN,1626466041
Lompoc,34.6391,-120.4579,71.58,72,1,13.8,US,1626465853
Rairangpur,22.2676,86.1751,78.75,86,100,4.9,IN,1626466041
Butere,0.2064,34.4935,61.43,90,83,3.15,KE,1626466042
Nome,64.5011,-165.4064,48.27,81,90,9.22,US,1626466042
Tuatapere,-46.1333,167.6833,43.83,96,100,3.29,NZ,1626466043
Oga,46.4631,10.347,52.47,91,94,6.26,IT,1626466043
Bathsheba,13.2167,-59.5167,83.01,78,75,13.8,BB,1626466044
Synya,65.3718,58.0387,52.77,86,0,3.33,RU,1626466044
São Miguel do Araguaia,-13.275,-50.1628,93.94,19,0,1.66,BR,1626466044
Philadelphia,39.9523,-75.1638,93.02,48,40,5.99,US,1626465979
Novi Pazar,43.1367,20.5122,59.56,95,2,1.57,RS,1626466045
Ergani,38.2653,39.7621,78.35,22,47,3.85,TR,1626466045
Padang,-0.9492,100.3543,75.74,77,67,3.91,ID,1626466046
Lundamo,63.1333,10.3,57.76,90,13,3.06,NO,1626466046
Aksarka,66.5606,67.7975,49.48,73,98,8.46,RU,1626466046
Brae,60.3964,-1.353,55.31,89,55,18.12,GB,1626466047
Shubarshi,48.5872,57.1869,79.54,28,57,8.19,KZ,1626466047
Nova Gradiška,45.255,17.3831,66.16,98,100,1.63,HR,1626466048
Oodweyne,9.4092,45.064,74.95,52,100,15.66,SO,1626466048
Kaiyuan,23.6977,103.3037,66.09,90,100,3.11,CN,1626466048
Luba,3.4568,8.5547,77.23,86,96,7.81,GQ,1626466049
Viedma,-40.8135,-62.9967,50.22,54,100,10.85,AR,1626466049
Riachão das Neves,-11.7461,-44.91,88.59,23,33,2.89,BR,1626466050
Riverton,40.5219,-111.9391,92.3,26,1,1.01,US,1626466033
Port Lincoln,-34.7333,135.8667,50.45,59,92,26.57,AU,1626466050
Harper,4.375,-7.7169,76.78,83,94,13.53,LR,1626466051
Tarāna,23.3333,76.0333,83.73,64,83,9.66,IN,1626466051
Tigre,-34.426,-58.5796,59.52,53,0,11.5,AR,1626466052
Ilulissat,69.2167,-51.1,57.22,41,40,5.75,GL,1626466052
Hargeisa,9.56,44.065,72.97,52,100,22.1,SO,1626466052
Tecolutla,20.4833,-97.0167,91.26,68,100,12.68,MX,1626465844
Terrasini,38.146,13.0844,76.78,70,40,13.8,IT,1626466053
Yangi Marg`ilon,40.4272,71.7189,65.12,88,75,4.61,UZ,1626466054
Khatanga,71.9667,102.5,39.49,74,8,4.5,RU,1626466054
Zaysan,47.4667,84.8667,60.66,64,100,8.3,KZ,1626466055
Sulangan,11.1373,123.7228,82.83,73,100,7.99,PH,1626466055
Boende,-0.2167,20.8667,77.36,55,76,3.38,CD,1626466055
Mahon,39.8885,4.2658,75.76,57,40,3.44,ES,1626466041
Zapolyarnyy,69.4154,30.8136,58.28,70,90,11.5,RU,1626466056
Camacha,33.0833,-16.3333,67.42,78,75,10.36,PT,1626466057
Richards Bay,-28.783,32.0377,58.24,72,0,6.82,ZA,1626466057
Vostok,46.4856,135.8833,66.25,96,3,4.68,RU,1626466057
Opuwo,-18.0607,13.84,63.41,33,0,8.01,NA,1626466058
Abádszalók,47.4667,20.6,78.78,61,100,4.83,HU,1626466058
Llanes,43.4198,-4.7549,68.02,89,0,10.47,ES,1626466059
Eyl,7.9803,49.8164,77.13,78,55,29.08,SO,1626466059
Leningradskiy,69.3833,178.4167,35.67,95,100,5.77,RU,1626466059
Boone,39.0334,-92.3335,81.19,75,79,4.0,US,1626466060
Igarka,67.4667,86.5833,48.36,74,99,11.39,RU,1626466060
Kosh-Agach,50.0,88.6667,51.48,81,100,4.83,RU,1626466061
Port-Gentil,-0.7193,8.7815,75.31,74,72,14.45,GA,1626466061
Khani,41.9563,42.9566,62.17,64,0,4.94,GE,1626466062
Copiapó,-27.3667,-70.3333,53.29,34,83,4.88,CL,1626466062
Chippewa Falls,44.9369,-91.3929,81.68,43,1,5.75,US,1626466063
Yuancheng,36.652,107.7896,71.71,69,39,2.89,CN,1626466063
Roura,4.7263,-52.3274,78.71,89,75,4.61,GF,1626466063
Buin,-33.7333,-70.75,55.81,33,0,2.39,CL,1626466064
Zyryanka,65.75,150.85,63.75,62,100,4.29,RU,1626466064
Kazygurt,41.7589,69.3864,69.73,61,98,2.39,KZ,1626466064
Kieta,-6.2167,155.6333,79.72,82,100,6.53,PG,1626466065
Olenegorsk,68.15,33.3,54.55,71,10,5.5,RU,1626466065
Grindavik,63.8424,-22.4338,51.94,87,75,16.11,IS,1626466066
Hanko,59.8333,22.95,64.15,60,0,17.09,FI,1626466066
Moussoro,13.6408,16.4901,90.68,45,27,5.95,TD,1626466067
Gambo,4.6482,22.2633,69.08,99,80,1.86,CF,1626466067
Vila Velha,-20.3297,-40.2925,76.95,73,20,12.66,BR,1626465920
Fairbanks,64.8378,-147.7164,69.75,61,1,0.0,US,1626466003
Bosaso,11.2842,49.1816,92.8,39,100,12.28,SO,1626466068
Sandeid,59.5449,5.8636,63.36,90,17,5.23,NO,1626466068
Tsogni,-2.7942,10.0988,71.19,84,50,6.02,GA,1626466069
Srednekolymsk,67.45,153.6833,62.67,52,100,1.12,RU,1626466069
Vieques,18.425,-65.8329,85.19,70,40,17.27,PR,1626466069
Chodavaram,17.8333,82.95,80.44,87,100,1.5,IN,1626466070
Tikrit,34.6071,43.6782,97.56,13,0,7.23,IQ,1626466070
Palmer,42.1584,-72.3287,87.44,65,75,14.97,US,1626466071
Navahrudak,53.6,25.8333,67.44,87,24,5.88,BY,1626466071
Kol'chugino,56.3,39.3833,70.21,72,0,3.96,RU,1626466071
Bakhtiyārpur,25.4667,85.5167,80.62,62,100,6.17,IN,1626466072
Barcelos,41.5388,-8.6151,82.54,50,0,4.09,PT,1626466072
Khovd,48.0056,91.6419,72.16,32,100,6.29,MN,1626466073
Cap-Chat,49.1001,-66.6821,67.15,68,50,12.71,CA,1626466073
Dawlatabad,36.4141,64.9053,82.49,20,67,2.64,AF,1626466073
Maniitsoq,65.4167,-52.9,48.72,72,29,5.01,GL,1626466074
Taree,-31.9,152.4667,58.44,38,1,14.97,AU,1626466074
College,64.8569,-147.8028,69.78,61,75,3.44,US,1626466075
Usinsk,65.9939,57.5281,54.19,78,0,6.69,RU,1626466075
Anderson,34.5334,-82.6499,90.66,54,20,1.01,US,1626466019
Maceió,-9.6658,-35.7353,72.84,100,90,5.75,BR,1626466076
Chyorny Yar,48.0624,46.1091,84.67,34,100,6.33,RU,1626466076
Bhakkar,31.6253,71.0657,98.08,41,0,5.57,PK,1626466077
Hirara,24.8,125.2833,82.89,76,100,15.01,JP,1626466077
Meulaboh,4.1363,96.1285,76.26,91,59,4.47,ID,1626466077
Huarmey,-10.0681,-78.1522,69.21,69,1,10.8,PE,1626466078
Khanpur,28.6453,70.6567,98.06,42,99,4.92,PK,1626466078
Lethem,3.3803,-59.7968,75.7,92,100,2.84,GY,1626466079
Haines Junction,60.7522,-137.5108,68.25,24,99,6.49,CA,1626465984
Pangnirtung,66.1451,-65.7125,63.79,49,33,5.64,CA,1626466079
São Geraldo do Araguaia,-6.4006,-48.555,96.33,26,40,5.75,BR,1626466080
Bowen,-20.0167,148.2333,66.02,58,78,10.71,AU,1626466080
Sambava,-14.2667,50.1667,69.08,83,98,13.2,MG,1626466080
Salisbury,51.0693,-1.7957,69.3,84,37,4.32,GB,1626466041
Avilés,43.5547,-5.9248,66.43,81,75,5.01,ES,1626466081
Kloulklubed,7.0419,134.2556,81.18,82,100,18.75,PW,1626466082
Fangshan,39.6983,115.9925,76.57,96,100,6.2,CN,1626466082
Tongchuanshi,35.0806,109.0897,75.81,71,0,3.62,CN,1626466083
Joshīmath,30.5667,79.5667,72.57,94,98,2.66,IN,1626466083
Kangaatsiaq,68.3065,-53.4641,46.09,69,13,5.88,GL,1626466084
Yar-Sale,66.8333,70.8333,45.82,66,96,10.04,RU,1626466084
Correntina,-13.3433,-44.6367,87.21,22,6,3.6,BR,1626466084
Mitsamiouli,-11.3847,43.2844,77.38,66,46,10.36,KM,1626466085
Båtsfjord,70.6345,29.7185,53.38,71,75,6.91,NO,1626466085
Felipe Carrillo Puerto,19.5833,-88.05,92.59,43,39,7.92,MX,1626466086
Banda Aceh,5.5577,95.3222,78.49,85,12,6.44,ID,1626466012
Basco,20.4487,121.9702,83.28,80,100,11.52,PH,1626466086
Praia,14.9215,-23.5087,77.54,73,20,10.36,CV,1626466087
Sokoto,13.0609,5.239,88.12,56,100,11.43,NG,1626466087
Gorin,51.1983,136.6669,70.65,88,51,4.61,RU,1626466088
Åmot,59.5714,7.9877,67.51,68,0,5.82,NO,1626466088
Mayor Pablo Lagerenza,-19.9309,-60.7718,67.14,65,99,3.53,PY,1626466089
Senador José Porfírio,-2.5908,-51.9542,84.07,65,88,2.75,BR,1626466089
Mujiayingzi,42.1167,118.7833,70.5,92,70,4.21,CN,1626466090
Otane,-39.8833,176.6333,62.01,68,100,12.53,NZ,1626466090
‘Āhuimanu,21.4447,-157.8378,80.1,69,90,12.66,US,1626466090
Qasigiannguit,68.8193,-51.1922,57.45,50,82,1.07,GL,1626466091
Talnakh,69.4865,88.3972,48.25,69,100,2.33,RU,1626466091
Dudinka,69.4058,86.1778,43.07,70,100,14.72,RU,1626466092
Roald,62.5833,6.1333,62.42,82,40,24.16,NO,1626466092
Mil'kovo,54.7167,158.6167,57.47,86,97,1.28,RU,1626466092
Vao,-22.6667,167.4833,73.4,88,24,14.05,NC,1626466093
Sørland,67.667,12.6934,51.87,90,100,22.77,NO,1626466093
Ubari,26.5921,12.7805,93.99,18,1,5.73,LY,1626466094
Santiago,-33.4569,-70.6483,57.06,34,0,3.44,CL,1626466094
Rostovka,55.3842,71.8891,51.94,95,73,7.09,RU,1626466094
Blackwater,-23.5833,148.8833,53.11,43,4,8.81,AU,1626466095
Massaguet,12.4755,15.4365,86.74,55,54,8.41,TD,1626466096
Northam,51.0333,-4.2167,69.24,82,0,3.31,GB,1626466096
Nago,26.5881,127.9761,76.23,81,100,8.95,JP,1626466097
Hsinchu,24.8036,120.9686,81.05,86,100,1.99,TW,1626466097
Nsoko,-27.0333,31.95,53.29,81,6,1.07,SZ,1626466098
Kalachinsk,55.0529,74.5751,54.0,99,100,8.46,RU,1626466098
Broome,42.2506,-75.833,79.18,65,75,1.01,US,1626466098
Havre-St-Pierre,50.2334,-63.5986,61.16,100,90,13.8,CA,1626466099
Kitui,-1.367,38.0106,64.2,61,99,10.76,KE,1626466099
Vardø,70.3705,31.1107,51.78,87,75,3.44,NO,1626466100
Gogrial,8.5332,28.1004,73.49,84,97,4.25,SS,1626466100
Vila Franca do Campo,37.7167,-25.4333,72.01,81,77,4.27,PT,1626466101
Ţahţā,26.7693,31.5021,93.09,18,5,7.65,EG,1626466101
Maltahöhe,-24.8333,16.9833,52.29,20,0,9.64,NA,1626466101
San Francisco,37.7749,-122.4194,67.82,76,22,4.0,US,1626465424
Baruun-Urt,46.6806,113.2792,66.88,67,33,10.87,MN,1626466102
George,-33.963,22.4617,56.1,39,0,2.28,ZA,1626466103
Twentynine Palms,34.1356,-116.0542,101.37,16,0,1.01,US,1626466104
Acajutla,13.5928,-89.8275,92.8,56,28,6.44,SV,1626466104
Inuvik,68.3499,-133.7218,68.72,31,85,8.37,CA,1626466104
Ketchikan,55.3422,-131.6461,59.47,77,90,10.36,US,1626466105
Gilgit,35.9221,74.3087,83.93,46,3,3.04,PK,1626466105
Nemuro,43.3236,145.575,60.78,100,100,7.76,JP,1626466106
Kyzyl,51.7,94.45,65.55,66,96,4.99,RU,1626466106
Wajima,37.4,136.9,76.55,84,54,5.19,JP,1626466106
Vila,42.0304,-8.1588,74.32,47,0,1.72,PT,1626466107
Laas,46.6166,10.7002,59.68,91,98,5.28,IT,1626466107
Buala,-8.145,159.5921,80.2,86,36,9.17,SB,1626466108
Nizhniy Kuranakh,58.8353,125.4869,50.88,93,57,3.2,RU,1626466108
Macaé,-22.3708,-41.7869,73.17,78,7,14.94,BR,1626466108
Dali,25.7,100.1833,62.92,94,100,3.51,CN,1626466109
Calama,-22.4667,-68.9333,68.49,12,12,19.57,CL,1626466109
Tunceli,39.1083,39.5471,77.86,37,1,6.08,TR,1626466110
Sabang,5.8933,95.3214,81.41,79,10,6.49,ID,1626466110
Aracaju,-10.9111,-37.0717,78.75,61,40,9.22,BR,1626466110
Bereket,39.2446,55.5154,87.75,21,98,4.03,TM,1626466111
Rock Sound,24.9,-76.2,81.64,71,9,10.2,BS,1626466111
Elizabeth City,36.2946,-76.2511,89.83,71,40,9.22,US,1626466112
Belmonte,-15.8631,-38.8828,75.7,74,36,8.57,BR,1626466112
Iwanai,42.9744,140.5089,68.52,96,52,2.53,JP,1626466113
Visakhapatnam,17.69,83.2093,80.49,94,40,2.3,IN,1626466113
Moerai,-22.4333,-151.3333,74.88,73,100,17.2,PF,1626466114
Kurumkan,54.3,110.3,62.96,78,79,3.2,RU,1626466114
Astoria,46.1879,-123.8313,61.79,86,90,1.01,US,1626465910
Lavrentiya,65.5833,-171.0,47.88,86,98,12.95,RU,1626466115
Olavarría,-36.8927,-60.3225,53.1,54,77,7.96,AR,1626466115
Wanning,18.8003,110.3967,79.21,88,8,3.51,CN,1626466115
Kitakata,37.65,139.8667,72.32,93,7,0.98,JP,1626466116
Khuzdar,27.7384,66.6434,80.15,65,100,7.61,PK,1626466116
Havøysund,70.9963,24.6622,52.03,86,100,29.39,NO,1626466117
Prainha,-1.8,-53.48,86.41,58,20,2.62,BR,1626466117
Ahtopol,42.1,27.95,73.87,85,0,5.35,BG,1626466118
Kushima,31.4583,131.2333,74.03,93,100,7.96,JP,1626466118
Plettenberg Bay,-34.0527,23.3716,56.43,37,0,4.0,ZA,1626466118
Mocuba,-16.8392,36.9856,60.76,78,18,4.38,MZ,1626466119
Pimenta Bueno,-11.6725,-61.1936,96.4,23,3,1.25,BR,1626465822
Punta Cardon,11.6581,-70.215,84.2,67,16,32.75,VE,1626466119
Shubarkuduk,49.1447,56.4872,81.32,36,85,13.87,KZ,1626466120
Kalabo,-14.97,22.6814,70.9,33,100,9.33,ZM,1626466120
Koungou,-12.7336,45.2042,76.71,65,0,9.22,YT,1626466121
Kharp,66.8014,65.8081,51.84,84,98,3.06,RU,1626466121
Ostrovnoy,68.0531,39.5131,54.54,71,59,6.31,RU,1626466121
Santa Barbara,34.7333,-120.0343,74.82,45,1,8.05,US,1626466122
Turbat,26.0023,63.044,85.66,73,100,13.4,PK,1626466122
Daimiel,39.07,-3.615,91.38,21,0,3.44,ES,1626466123
Karakol,42.4907,78.3936,51.8,90,85,3.78,KG,1626466123
Oktyabr'skiy,54.4815,53.471,64.33,87,79,3.15,RU,1626466124
Shitanjing,39.2342,106.3439,75.52,50,11,1.68,CN,1626466124
Arinos,-15.9169,-46.1056,85.21,25,0,2.24,BR,1626466124
Port Hedland,-20.3167,118.5667,53.65,50,7,8.05,AU,1626466125
San Isidro,-12.1167,-77.05,62.46,88,90,11.5,PE,1626466125
Bria,6.5423,21.9863,70.61,95,98,1.61,CF,1626466126
Eyrarbakki,63.863,-21.1481,50.2,80,98,11.77,IS,1626466126
Tura,25.5198,90.2201,74.14,97,100,5.68,IN,1626466126
Msanga,-6.05,36.0333,65.86,49,39,6.6,TZ,1626466127
Verkhoyansk,67.5447,133.385,63.03,47,100,3.22,RU,1626466127
La Paz,-16.5,-68.15,57.51,29,1,10.36,BO,1626465865
Wadi Maliz,36.4681,8.5495,70.43,73,0,4.9,TN,1626466128
Taraz,42.9,71.3667,64.81,48,3,8.95,KZ,1626466128
